PRONOUN,SPEAKER,SPECIFICITY,ANIMACY,REF.DISTANCE,VERB.TYPE
ça,coulson,RSP,RAN,ITU,VRB
ils,coulson,RGE,RAN,OTU,VEA
ils,coulson,RGE,RAN,OTU,VEA
ils,coulson,RGE,RAN,OTU,VEA
ça,coulson,RSP,RAN,OTU,VRB
ça,coulson,RGE,RAN,OTU,VRB
ils,coulson,RSP,RAN,ITU,VEA
ça,coulson,RSP,RAN,OTU,VRB
ça,coulson,RSP,RAN,ITU,VRB
ils,coulson,RSP,RAN,ITU,VEA
ils,coulson,RSP,RAN,OTU,VEA
ça,coulson,RSP,RAN,OTU,VRB
ça,coulson,RSP,RAN,OTU,VRB
ils,coulson,RSP,RAN,ITU,VRB
ça,coulson,RSP,RAN,OTU,VRB
ils,coulson,RSP,RAN,ITU,VEA
ils,coulson,RSP,RAN,OTU,VEA
ils,coulson,RSP,RAN,OTU,VEA
ils,coulson,RSP,RAN,OTU,VEA
ils,coulson,RSP,RIN,OTU,VEA
ça,coulson,RGE,RAN,OTU,VRB
ça,coulson,RSP,RAN,OTU,VRB
ça,coulson,RSP,RAN,OTU,VRB
ils,coulson,RSP,RAN,ITU,VEA
ça,coulson,RSP,RAN,OTU,VRB
ça,coulson,RSP,RAN,OTU,VRB
ça,coulson,RSP,RAN,OTU,VRB
ils,coulson,RSP,RAN,ITU,VRB
ça,coulson,RSP,RAN,OTU,VRB
ça,coulson,RSP,RAN,OTU,VRB
ça,coulson,RSP,RAN,OTU,VRB
ça,coulson,RSP,RAN,OTU,VRB
ça,coulson,RSP,RAN,OTU,VRB
ça,coulson,RSP,RAN,OTU,VRB
ça,coulson,RSP,RAN,OTU,VRB
ça,coulson,RSP,RAN,OTU,VRB
ça,coulson,RSP,RAN,OTU,VRB
ça,coulson,RSP,RAN,OTU,VRB
ça,coulson,RSP,RAN,OTU,VRB
ils,coulson,RSP,RAN,OTU,VRB
ça,coulson,RSP,RAN,ITU,VRB
ils,coulson,RSP,RAN,ITU,VEA
ça,coulson,RGE,RAN,ITU,VRB
ils,coulson,RSP,RAN,OTU,VEA
ça,coulson,RSP,RAN,OTU,VRB
ils,coulson,RSP,RAN,OTU,VRB
ils,coulson,RSP,RAN,OTU,VRB
ils,coulson,RSP,RAN,ITU,VEA
ils,coulson,RSP,RAN,OTU,VEA
ça,coulson,RSP,RAN,OTU,VRB
ça,coulson,RGE,RAN,OTU,VRB
ça,coulson,RSP,RAN,ITU,VRB
ils,coulson,RSP,RAN,ITU,VEA
ça,coulson,RSP,RAN,OTU,VRB
ça,coulson,RSP,RAN,OTU,VRB
ils,coulson,RGE,RAN,OTU,VEA
ça,coulson,RSP,RAN,ITU,VRB
ils,coulson,RGE,RAN,OTU,VEA
ils,coulson,RGE,RAN,OTU,VEA
ils,coulson,RGE,RAN,OTU,VEA
ils,coulson,RGE,RAN,OTU,VEA
ils,coulson,RGE,RAN,OTU,VEA
ils,coulson,RGE,RAN,OTU,VEA
ils,coulson,RGE,RAN,OTU,VEA
ils,coulson,RGE,RAN,OTU,VEA
ils,coulson,RGE,RAN,OTU,VEA
ils,coulson,RGE,RAN,OTU,VEA
ils,coulson,RGE,RAN,OTU,VEA
ils,coulson,RSP,RIN,OTU,VEA
ça,coulson,RSP,RIN,OTU,VRB
ça,coulson,RGE,RAN,OTU,VRB
ils,coulson,RGE,RAN,OTU,VEA
ils,coulson,RSP,RAN,ITU,VRB
ils,coulson,RGE,RAN,OTU,VEA
ils,coulson,RGE,RAN,OTU,VEA
ça,coulson,RGE,RAN,OTU,VRB
ils,coulson,RGE,RAN,OTU,VRB
ça,coulson,RGE,RAN,OTU,VRB
ça,coulson,RSP,RAN,OTU,VRB
ça,coulson,RSP,RAN,OTU,VRB
ça,coulson,RSP,RAN,OTU,VRB
ils,coulson,RSP,RAN,ITU,VRB
ils,coulson,RSP,RAN,ITU,VRB
ça,coulson,RSP,RAN,OTU,VRB
ça,coulson,RSP,RAN,ITU,VRB
ça,coulson,RSP,RAN,OTU,VRB
ça,coulson,RGE,RAN,OTU,VRB
ils,coulson,RGE,RAN,OTU,VEA
ça,coulson,RGE,RAN,OTU,VRB
ça,coulson,RGE,RAN,OTU,VEA
ça,coulson,RGE,RAN,OTU,VRB
c',coulson,RSP,RAN,ITU,VEA
ça,coulson,RSP,RAN,OTU,VRB
c',fitz,RSP,RAN,ITU,VEA
yé,fitz,RSP,RAN,ITU,VRB
ils,fitz,RSP,RAN,ITU,VRB
c',fitz,RSP,RIN,ITU,VEA
ils,fitz,RGE,RAN,OTU,VEA
eux,fitz,RGE,RAN,OTU,VEA
ça,talbot,RSP,RAN,ITU,VRB
ça,talbot,RSP,RAN,OTU,VRB
ça,talbot,RGE,RAN,OTU,VRB
ça,talbot,RGE,RAN,OTU,VEA
ils,talbot,RSP,RAN,OTU,VEA
ça,talbot,RGE,RAN,OTU,VRB
ils,talbot,RSP,RAN,ITU,VEA
c',talbot,RSP,RIN,ITU,VEA
ça,talbot,RSP,RAN,ITU,VRB
ça,talbot,RSP,RAN,OTU,VRB
ça,talbot,RSP,RAN,OTU,VRB
c',talbot,RSP,RAN,OTU,VEA
ça,talbot,RSP,RAN,OTU,VRB
c',talbot,RSP,RIN,OTU,VEA
ç',talbot,RGE,RAN,OTU,VRB
ç',talbot,RGE,RAN,OTU,VRB
ça,talbot,RSP,RAN,OTU,VRB
ça,talbot,RSP,RAN,OTU,VRB
ça,talbot,RSP,RAN,OTU,VRB
ils,talbot,RSP,RAN,ITU,VRB
ils,talbot,RGE,RAN,OTU,VEA
ça,talbot,RSP,RAN,OTU,VRB
ils,talbot,RGE,RAN,OTU,VEA
ça,talbot,RSP,RAN,OTU,VRB
ça,talbot,RGE,RAN,OTU,VRB
ça,talbot,RSP,RAN,ITU,VRB
ça,talbot,RSP,RAN,OTU,VRB
ça,talbot,RGE,RAN,OTU,VEA
ils,talbot,RGE,RAN,OTU,VRB
ça,talbot,RGE,RAN,OTU,VRB
ça,talbot,RGE,RAN,OTU,VRB
ça,talbot,RSP,RAN,OTU,VRB
ça,talbot,RSP,RAN,OTU,VRB
ça,talbot,RSP,RAN,OTU,VRB
ça,talbot,RSP,RAN,OTU,VRB
ça,talbot,RSP,RAN,OTU,VRB
ça,talbot,RSP,RAN,OTU,VRB
ça,talbot,RSP,RAN,OTU,VRB
ça,talbot,RSP,RAN,OTU,VRB
ça,talbot,RSP,RAN,OTU,VRB
ça,talbot,RSP,RAN,OTU,VRB
ça,talbot,RSP,RAN,OTU,VRB
ça,talbot,RGE,RAN,OTU,VRB
ça,talbot,RGE,RAN,OTU,VRB
ça,talbot,RSP,RAN,ITU,VRB
ça,talbot,RGE,RAN,OTU,VRB
ça,talbot,RSP,RAN,ITU,VRB
ça,talbot,RSP,RAN,OTU,VRB
ça,talbot,RSP,RAN,OTU,VRB
ça,talbot,RSP,RAN,OTU,VRB
ils,ward,RSP,RAN,OTU,VEA
ils,ward,RSP,RAN,OTU,VRB
ils,ward,RSP,RAN,OTU,VRB
ils,ward,RSP,RAN,ITU,VEA
ils,ward,RSP,RAN,ITU,VRB
ils,ward,RSP,RAN,OTU,VEA
ils,ward,RSP,RAN,OTU,VEA
ils,ward,RGE,RAN,OTU,VRB
ils,ward,RGE,RAN,OTU,VRB
ils,ward,RSP,RAN,ITU,VRB
ils,ward,RSP,RAN,OTU,VRB
